,playerId,RAPM__Off,RAPM__Def,RAPM,RAPM_Rank,RAPM__Off_Rank,RAPM__Def_Rank,RAPM__intercept
66,Cassius Stanley,-0.0021,0.0,-0.0,297.5,508.5,269.0,-0.0
67,Cassius Winston,-0.0003,-0.0091,-0.01,406.5,538.0,395.5,-0.0
68,Cat Barber,0.0046,0.0,0.0,203.0,175.5,269.0,-0.0
69,Cedi Osman,-0.009,0.0072,-0.0,293.0,387.0,128.5,-0.0
70,Chandler Hutchison,0.0114,-0.0025,0.01,136.5,70.0,496.0,-0.0
71,Charles Bassey,-0.0122,0.0131,0.0,253.5,341.0,66.5,-0.0
72,Charlie Brown Jr.,-0.0075,-0.0003,-0.01,389.5,410.5,534.0,-0.0
73,Chaundee Brown,0.0064,0.0,0.01,173.0,144.0,269.0,-0.0
74,Cheick Diallo,0.0062,0.0,0.01,175.5,148.0,269.0,-0.0
75,Chimezie Metu,0.0097,-0.0002,0.01,132.0,101.5,538.0,-0.0
76,Chris Boucher,0.0041,0.0119,0.02,74.0,186.5,75.0,-0.0
77,Chris Chiozza,-0.005,-0.0146,-0.02,492.0,454.5,340.5,-0.0
78,Chris Duarte,0.0003,0.0033,0.0,215.0,245.0,190.5,-0.0
79,Chris Paul,-0.0096,0.0035,-0.01,361.0,378.0,183.5,-0.0
80,Christian Wood,-0.0056,0.0055,-0.0,273.0,442.0,158.5,-0.0
81,Chuma Okeke,0.0043,-0.0081,-0.0,323.5,180.5,414.5,-0.0
82,Clint Capela,0.0023,0.0165,0.02,61.0,211.0,43.0,-0.0
83,Coby White,-0.0129,0.0067,-0.01,364.0,333.5,136.5,-0.0
84,Cody Martin,0.0098,-0.0124,-0.0,306.0,100.0,360.5,-0.0
85,Cody Zeller,-0.0026,-0.0142,-0.02,469.0,495.0,345.0,-0.0
86,Cole Anthony,0.0227,-0.0081,0.01,87.0,14.5,414.5,-0.0
87,Collin Sexton,-0.0258,-0.0252,-0.05,542.0,282.0,298.5,-0.0
88,Corey Kispert,0.0139,-0.0155,-0.0,291.0,49.0,333.0,-0.0
89,Cory Joseph,-0.0072,0.0162,0.01,135.0,414.5,45.5,-0.0
90,D'Angelo Russell,0.0083,0.0258,0.03,9.5,119.0,13.0,-0.0
91,D.J. Augustin,-0.0215,-0.0028,-0.02,515.0,290.5,490.5,-0.0
92,D.J. Wilson,-0.003,0.0,-0.0,313.0,491.5,269.0,-0.0
93,Daishen Nix,0.0,-0.0037,-0.0,322.0,264.0,476.5,-0.0
94,Dalano Banton,-0.0038,0.0076,0.0,212.0,474.0,124.0,-0.0
95,Damian Jones,0.0004,0.0059,0.01,174.0,242.0,150.5,-0.0
96,Damian Lillard,0.002,0.0283,0.03,16.0,214.0,7.5,-0.0
97,Damion Lee,0.0109,0.0003,0.01,115.5,81.0,246.0,-0.0
98,Damyean Dotson,0.0,0.0084,0.01,143.5,264.0,109.5,-0.0
99,Daniel Gafford,0.0119,-0.0183,-0.01,368.0,64.0,317.0,-0.0
100,Daniel Oturu,0.0024,0.0,0.0,232.0,209.0,269.0,-0.0
101,Daniel Theis,-0.0067,-0.0042,-0.01,418.0,420.0,468.5,-0.0
102,Danilo Gallinari,-0.0105,0.0262,0.02,75.5,365.5,12.0,-0.0
103,Danny Green,0.0027,0.0139,0.02,72.0,204.5,56.0,-0.0
104,Danuel House Jr.,-0.0033,-0.0005,-0.0,325.5,489.0,529.0,-0.0
105,Darius Bazley,-0.0088,-0.0126,-0.02,503.0,389.0,358.0,-0.0
106,Darius Garland,0.0155,0.0118,0.03,23.5,41.5,76.5,-0.0
107,Darren Collison,0.0,-0.0052,-0.01,350.5,264.0,456.0,-0.0
108,David Duke Jr.,-0.0149,0.0303,0.02,79.0,318.0,5.0,-0.0
109,David Johnson,0.0,-0.0009,-0.0,277.5,264.0,522.0,-0.0
110,David Nwaba,0.0108,-0.0106,0.0,263.5,84.0,376.5,-0.0
111,Davion Mitchell,0.0013,0.0076,0.01,136.5,228.5,124.0,-0.0
112,Davis Bertans,-0.0094,0.0081,-0.0,285.5,382.5,113.5,-0.0
113,Davon Reed,0.0104,-0.0105,-0.0,274.0,92.5,379.0,-0.0
114,Day'Ron Sharpe,0.0013,0.0019,0.0,221.0,228.5,217.5,-0.0
115,De'Aaron Fox,-0.0061,-0.0032,-0.01,405.0,431.0,484.0,-0.0
116,De'Andre Hunter,-0.0095,-0.0095,-0.02,487.0,380.0,391.0,-0.0
117,De'Anthony Melton,0.0166,0.0072,0.02,39.5,35.0,128.5,-0.0
118,DeAndre Jordan,-0.0215,0.0021,-0.02,491.0,290.5,214.0,-0.0
119,DeAndre' Bembry,-0.0194,0.0044,-0.02,457.0,298.0,169.0,-0.0
120,DeMar DeRozan,0.0079,-0.0076,0.0,258.0,122.5,421.5,-0.0
121,DeMarcus Cousins,0.0034,0.0012,0.0,203.0,195.0,226.5,-0.0
122,Dean Wade,-0.0079,-0.0132,-0.02,501.5,405.5,354.0,-0.0
123,Deandre Ayton,-0.0002,0.0117,0.01,111.0,539.5,78.5,-0.0
124,Deividas Sirvydis,-0.0131,0.0,-0.01,438.5,332.0,269.0,-0.0
125,Dejounte Murray,0.0086,0.0067,0.02,82.0,115.0,136.5,-0.0
126,Delon Wright,0.0048,0.0138,0.02,63.5,170.5,58.5,-0.0
127,Deni Avdija,0.0063,0.0193,0.03,31.0,145.0,26.0,-0.0
128,Dennis Schroder,0.0073,-0.0065,0.0,255.0,131.5,436.0,-0.0
129,Dennis Smith Jr.,-0.0152,0.0064,-0.01,397.0,314.0,141.0,-0.0
130,Denzel Valentine,-0.017,-0.0007,-0.02,472.0,309.0,524.5,-0.0
131,Derrick Favors,-0.0082,0.0033,-0.0,345.0,397.0,190.5,-0.0
132,Derrick Jones Jr.,0.0129,-0.0024,0.01,123.0,56.0,500.0,-0.0
133,Derrick Rose,0.0234,0.0023,0.03,30.0,12.0,209.0,-0.0
134,Derrick Walton Jr.,-0.0013,0.0,-0.0,284.0,522.0,269.0,-0.0
135,Derrick White,-0.0119,0.0075,-0.0,337.0,345.0,127.0,-0.0
136,Desmond Bane,0.0221,0.0034,0.03,32.5,16.0,186.0,-0.0
137,Devin Booker,0.0188,-0.0085,0.01,127.5,23.0,406.5,-0.0
138,Devin Vassell,0.0056,-0.0096,-0.0,330.5,158.0,389.5,-0.0
139,Devon Dotson,-0.0119,0.0131,0.0,247.0,345.0,66.5,-0.0
140,Devontae Cacok,0.0,-0.0009,-0.0,277.5,264.0,522.0,-0.0
141,Devonte' Graham,0.0027,0.0026,0.01,191.0,204.5,201.0,-0.0
142,Dewayne Dedmon,0.0126,0.0067,0.02,58.0,58.0,136.5,-0.0
143,Didi Louzada,-0.0035,0.0,-0.0,320.5,483.0,269.0,-0.0
144,Dillon Brooks,0.0106,-0.0055,0.01,192.5,86.5,450.5,-0.0
145,Domantas Sabonis,-0.0036,0.0145,0.01,117.5,478.5,51.5,-0.0
146,Donovan Mitchell,0.0096,-0.0085,0.0,251.0,103.5,406.5,-0.0
147,Donte DiVincenzo,0.0,0.0108,0.01,119.5,264.0,88.0,-0.0
148,Dorian Finney-Smith,0.0017,0.0109,0.01,101.0,218.5,86.5,-0.0
149,Doug McDermott,0.0003,-0.0036,-0.0,316.5,245.0,478.5,-0.0
150,Draymond Green,-0.0095,-0.0001,-0.01,410.0,380.0,541.0,-0.0
151,Drew Eubanks,-0.0086,-0.009,-0.02,471.0,391.0,397.5,-0.0
152,Duane Washington Jr.,0.0105,-0.023,-0.01,433.0,89.5,302.0,-0.0
153,Duncan Robinson,-0.0022,-0.011,-0.01,440.0,505.0,372.5,-0.0
154,Dwight Howard,-0.0065,-0.0026,-0.01,403.0,424.0,492.5,-0.0
155,Dwight Powell,0.0071,-0.02,-0.01,436.0,135.0,310.0,-0.0
156,Dylan Windler,-0.0048,-0.0168,-0.02,505.0,459.5,321.5,-0.0
157,Ed Davis,-0.0038,-0.01,-0.01,446.0,474.0,383.0,-0.0
158,Elfrid Payton,-0.0152,0.0209,0.01,185.0,314.0,23.0,-0.0
